,0,1
0,114.0,10200.0
1,114.0,10200.0
2,113.0,10125.0
3,113.0,10150.0
4,109.0,10100.0
5,102.0,9950.0
6,108.5,10025.0
7,107.5,10025.0
8,107.0,10050.0
9,105.5,9950.0
10,106.0,10000.0
11,105.5,9925.0
12,104.0,9850.0
13,103.0,9875.0
14,104.0,9975.0
15,104.0,10000.0
16,106.0,9975.0
17,104.0,9975.0
18,104.0,9950.0
19,102.0,10000.0
20,103.0,10075.0
21,104.0,10075.0
22,104.0,10200.0
23,104.0,10175.0
24,107.5,10200.0
25,105.5,10200.0
26,104.5,10150.0
27,103.0,10050.0
28,104.0,10150.0
29,104.0,10525.0
30,98.6,10575.0
31,94.1,10500.0
32,94.9,10525.0
33,94.7,10625.0
34,97.4,10625.0
35,95.5,10625.0
36,94.5,10625.0
37,93.3,10575.0
38,93.7,10575.0
39,93.5,10675.0
40,91.3,9450.0
41,91.7,9425.0
42,91.0,9400.0
43,89.7,9225.0
44,88.9,9225.0
45,89.0,9175.0
46,90.2,9300.0
47,91.5,9250.0
48,91.5,9100.0
49,90.8,9050.0
50,91.2,8900.0
51,92.9,8900.0
52,92.3,9025.0
53,91.1,9075.0
54,90.0,9000.0
55,92.0,8900.0
56,92.0,8900.0
57,91.8,8875.0
58,91.2,8800.0
59,91.2,8850.0
60,91.2,8850.0
61,95.0,8825.0
62,92.6,8825.0
63,92.0,8875.0
64,92.3,9050.0
65,91.3,9050.0
66,90.1,9075.0
67,89.9,9150.0
68,91.0,9125.0
69,90.2,9050.0
70,84.9,8925.0
71,84.2,8775.0
72,84.5,8850.0
73,82.3,9000.0
74,83.0,9075.0
75,83.3,9125.0
76,85.1,9175.0
77,83.8,9175.0
78,82.9,9175.0
79,83.2,9075.0
80,83.0,9100.0
81,84.0,9075.0
82,86.0,9125.0
83,85.1,9225.0
84,85.7,9225.0
85,85.3,9175.0
86,85.0,9250.0
87,85.9,9250.0
88,85.0,9300.0
89,85.9,9400.0
90,85.0,9275.0
91,81.1,9125.0
92,81.9,9150.0
93,79.0,9125.0
94,78.5,9250.0
95,76.6,9275.0
96,77.0,9350.0
97,77.1,9325.0
98,78.5,9275.0
99,77.1,9225.0
100,76.0,9175.0
101,76.5,9150.0
102,73.7,9125.0
103,70.9,9025.0
104,71.0,9025.0
105,71.9,9025.0
106,71.6,9000.0
107,71.0,9025.0
108,71.6,9000.0
109,73.5,9025.0
110,73.0,9000.0
111,72.5,9025.0
112,71.5,9000.0
113,71.2,9000.0
114,71.7,9000.0
115,71.3,8950.0
116,71.5,8925.0
117,70.5,8925.0
118,71.0,8975.0
119,70.7,9050.0
120,74.3,9000.0
121,73.6,9000.0
122,73.3,8900.0
123,73.8,8900.0
124,73.6,9000.0
125,72.6,9225.0
126,73.7,9250.0
127,72.9,9250.0
128,73.1,9175.0
129,73.1,9125.0
130,72.9,9150.0
131,72.0,9175.0
132,72.4,9100.0
133,75.3,9175.0
134,72.0,9150.0
135,71.5,9175.0
136,71.8,9300.0
137,71.0,9300.0
138,71.4,9250.0
139,71.3,9300.0
140,70.8,9350.0
141,71.0,9650.0
142,70.8,9600.0
143,70.8,9550.0
144,70.7,9475.0
145,68.6,9450.0
146,67.6,9475.0
147,67.8,9450.0
148,67.2,9425.0
149,65.8,9450.0
150,64.5,9325.0
151,63.0,9375.0
152,64.4,9275.0
153,63.3,9125.0
154,63.5,9175.0
155,63.7,9100.0
156,66.2,9275.0
157,66.6,9200.0
158,67.0,9175.0
159,67.1,9175.0
160,67.0,9200.0
161,67.3,9275.0
162,67.0,9225.0
163,66.7,9225.0
164,67.2,9175.0
165,66.6,9250.0
166,67.2,9275.0
167,65.7,9300.0
168,65.7,9475.0
169,66.4,9600.0
170,67.8,9575.0
171,69.9,9800.0
172,69.6,9850.0
173,72.7,9725.0
174,71.6,9750.0
175,71.1,9900.0
176,70.3,9750.0
177,67.4,9775.0
178,67.7,9800.0
179,68.0,9975.0
180,71.4,10000.0
181,70.7,9975.0
182,69.8,10100.0
183,70.0,10100.0
184,70.0,10025.0
185,70.0,9925.0
186,70.8,9850.0
187,69.9,9975.0
188,69.2,9950.0
189,69.2,10000.0
190,68.8,10025.0
191,68.7,9925.0
192,69.1,9900.0
193,69.3,9850.0
194,68.5,9950.0
195,68.0,9900.0
196,62.8,9650.0
197,63.8,9775.0
198,63.2,9825.0
199,60.8,9775.0
200,61.9,9775.0
201,63.4,9950.0
202,64.2,10150.0
203,64.4,10250.0
204,63.5,10350.0
205,63.3,10225.0
206,63.0,10375.0
207,62.5,10700.0
208,62.6,10625.0
209,63.0,10600.0
210,62.5,10575.0
211,62.8,10700.0
212,62.0,10625.0
213,63.0,10750.0
214,63.2,10850.0
215,64.9,11100.0
216,64.8,11175.0
217,64.7,11125.0
218,64.2,11150.0
219,63.3,11150.0
220,62.2,10875.0
221,62.4,10875.0
222,61.8,11050.0
223,61.5,11150.0
224,61.6,11175.0
225,61.8,11200.0
226,60.6,11150.0
227,60.5,11100.0
228,61.1,11100.0
229,61.4,11050.0
230,60.4,10975.0
231,59.0,10750.0
232,59.2,10850.0
233,59.3,10950.0
234,58.5,10850.0
235,58.8,10725.0
236,58.5,10600.0
237,56.8,10575.0
238,55.9,10525.0
239,55.8,10525.0
240,54.1,10575.0
241,52.3,10550.0
242,51.2,10425.0
243,53.6,10350.0
244,51.8,10300.0
245,52.0,10275.0
246,53.4,10700.0
247,54.3,10625.0
248,53.1,10525.0
249,53.6,10450.0
250,52.7,10500.0
251,53.0,10425.0
252,52.2,10350.0
253,52.2,10350.0
254,52.4,10350.0
